
Image Name                     PID Services                                    
========================= ======== ============================================
System Idle Process              0 N/A                                         
System                           4 N/A                                         
Registry                       100 N/A                                         
smss.exe                       416 N/A                                         
csrss.exe                      624 N/A                                         
wininit.exe                    712 N/A                                         
csrss.exe                      732 N/A                                         
services.exe                   784 N/A                                         
lsass.exe                      804 KeyIso, SamSs, VaultSvc                     
winlogon.exe                   860 N/A                                         
svchost.exe                    992 BrokerInfrastructure, DcomLaunch, PlugPlay, 
                                   Power, SystemEventsBroker                   
fontdrvhost.exe               1012 N/A                                         
fontdrvhost.exe               1016 N/A                                         
svchost.exe                    612 RpcEptMapper, RpcSs                         
svchost.exe                    820 LSM                                         
dwm.exe                       1204 N/A                                         
svchost.exe                   1220 NcbService                                  
IntelCpHDCPSvc.exe            1320 cplspcon                                    
svchost.exe                   1356 DisplayEnhancementService                   
svchost.exe                   1364 Schedule                                    
svchost.exe                   1464 ProfSvc                                     
svchost.exe                   1572 UserManager                                 
svchost.exe                   1632 BTAGService                                 
svchost.exe                   1640 BthAvctpSvc                                 
svchost.exe                   1648 EventLog                                    
svchost.exe                   1656 bthserv                                     
svchost.exe                   1664 EventSystem                                 
svchost.exe                   1672 TimeBrokerSvc                               
svchost.exe                   1936 nsi                                         
IntelCpHeciSvc.exe            1980 cphs                                        
svchost.exe                   2000 SENS                                        
svchost.exe                   2036 PhoneSvc                                    
svchost.exe                     68 Dhcp                                        
igfxCUIService.exe            2064 igfxCUIService2.0.0.0                       
svchost.exe                   2168 NlaSvc                                      
svchost.exe                   2228 netprofm                                    
svchost.exe                   2408 DeviceAssociationService                    
svchost.exe                   2456 camsvc                                      
SynTPEnhService.exe           2500 SynTPEnhService                             
svchost.exe                   2540 SysMain                                     
svchost.exe                   2548 Themes                                      
svchost.exe                   2620 AudioEndpointBuilder                        
svchost.exe                   2628 FontCache                                   
Memory Compression            2636 N/A                                         
svchost.exe                   2788 Audiosrv                                    
Start10Srv.exe                2860 Start10                                     
svchost.exe                   2884 StateRepository                             
Start10_64.exe                2952 N/A                                         
svchost.exe                   2980 Dnscache                                    
svchost.exe                   2988 Wcmsvc                                      
svchost.exe                   3000 DusmSvc                                     
svchost.exe                   1500 BFE, mpssvc                                 
svchost.exe                   2096 DoSvc                                       
svchost.exe                   3136 WinHttpAutoProxySvc                         
svchost.exe                   3196 Winmgmt                                     
svchost.exe                   3260 iphlpsvc                                    
svchost.exe                   3268 WlanSvc                                     
svchost.exe                   3344 ShellHWDetection                            
spoolsv.exe                   3500 Spooler                                     
svchost.exe                   3560 LanmanWorkstation                           
armsvc.exe                    3640 AdobeARMservice                             
svchost.exe                   3648 DiagTrack                                   
OneApp.IGCC.WinService.ex     3656 igccservice                                 
svchost.exe                   3664 IKEEXT                                      
svchost.exe                   3672 CoreMessagingRegistrar                      
svchost.exe                   3680 CryptSvc                                    
svchost.exe                   3688 DPS                                         
svchost.exe                   3700 SstpSvc                                     
svchost.exe                   3724 stisvc                                      
SU10Guard.exe                 3748 SU10Guard                                   
svchost.exe                   3816 TrkWks                                      
svchost.exe                   3828 WpnService                                  
svchost.exe                   3956 WdiServiceHost                              
RtkBtManServ.exe              4040 RtkBtManServ                                
svchost.exe                   4052 LanmanServer                                
RstMwService.exe              4092 RstMwService                                
AdobeUpdateService.exe        3036 AdobeUpdateService                          
OfficeClickToRun.exe          3884 ClickToRunSvc                               
svchost.exe                   3904 RasMan                                      
svchost.exe                   4292 StorSvc                                     
svchost.exe                   4720 DispBrokerDesktopSvc                        
dllhost.exe                   2356 N/A                                         
SynTPEnh.exe                  1080 N/A                                         
sihost.exe                    3512 N/A                                         
svchost.exe                   3964 CDPUserSvc_5173c                            
svchost.exe                   4160 BluetoothUserService_5173c                  
svchost.exe                   2928 WpnUserService_5173c                        
PresentationFontCache.exe     5216 FontCache3.0.0.0                            
taskhostw.exe                 5268 N/A                                         
svchost.exe                   5396 TabletInputService                          
ctfmon.exe                    5424 N/A                                         
svchost.exe                   5540 TokenBroker                                 
svchost.exe                   5828 lmhosts                                     
svchost.exe                   5880 NcdAutoSetup                                
svchost.exe                   5888 fdPHost                                     
svchost.exe                   6056 FDResPub                                    
dasHost.exe                   6140 N/A                                         
svchost.exe                   5608 CDPSvc                                      
svchost.exe                   2688 SSDPSRV                                     
explorer.exe                  6148 N/A                                         
svchost.exe                   6296 RmSvc                                       
svchost.exe                   6796 cbdhsvc_5173c                               
SearchIndexer.exe             6904 WSearch                                     
igfxEM.exe                    6564 N/A                                         
StartMenuExperienceHost.e     1276 N/A                                         
RuntimeBroker.exe             6836 N/A                                         
TextInputHost.exe             5840 N/A                                         
SearchApp.exe                 7040 N/A                                         
SettingSyncHost.exe           2900 N/A                                         
RuntimeBroker.exe             4320 N/A                                         
RuntimeBroker.exe             7848 N/A                                         
OneDrive.exe                  5240 N/A                                         
figma_agent.exe               1352 N/A                                         
chrome.exe                    3716 N/A                                         
chrome.exe                    8068 N/A                                         
CCleaner64.exe                6616 N/A                                         
Bonus.ScreenshotReader.ex     4164 N/A                                         
WSHelper.exe                  2840 N/A                                         
Creative Cloud.exe            3176 N/A                                         
Lightshot.exe                 3320 N/A                                         
CCXProcess.exe                1492 N/A                                         
node.exe                      2384 N/A                                         
svchost.exe                   8104 seclogon                                    
conhost.exe                   8140 N/A                                         
AdobeIPCBroker.exe            4916 N/A                                         
svchost.exe                   1384 OneSyncSvc_5173c,                           
                                   PimIndexMaintenanceSvc_5173c,               
                                   UnistoreSvc_5173c, UserDataSvc_5173c        
SgrmBroker.exe                3164 SgrmBroker                                  
svchost.exe                   2672 wscsvc                                      
chrome.exe                    8296 N/A                                         
chrome.exe                    8304 N/A                                         
GoogleCrashHandler.exe        8384 N/A                                         
chrome.exe                    8408 N/A                                         
chrome.exe                    9044 N/A                                         
chrome.exe                    7340 N/A                                         
chrome.exe                    5564 N/A                                         
chrome.exe                    3024 N/A                                         
GoogleCrashHandler64.exe      7692 N/A                                         
chrome.exe                    6936 N/A                                         
Adobe Desktop Service.exe     8940 N/A                                         
Creative Cloud Helper.exe     2528 N/A                                         
Adobe CEF Helper.exe           964 N/A                                         
Adobe CEF Helper.exe          6292 N/A                                         
Code.exe                      7084 N/A                                         
svchost.exe                   5908 PcaSvc                                      
SecurityHealthService.exe     5960 SecurityHealthService                       
Creative Cloud Helper.exe     6620 N/A                                         
CCLibrary.exe                 4912 N/A                                         
node.exe                      3740 N/A                                         
conhost.exe                   2016 N/A                                         
CoreSync.exe                  2224 N/A                                         
Code.exe                      4080 N/A                                         
Code.exe                      7304 N/A                                         
Code.exe                      3396 N/A                                         
Code.exe                      7028 N/A                                         
AdobeNotificationClient.e     8656 N/A                                         
Code.exe                      8836 N/A                                         
Code.exe                      8696 N/A                                         
Code.exe                      9848 N/A                                         
Code.exe                      9836 N/A                                         
svchost.exe                   9456 Appinfo                                     
svchost.exe                   9380 LicenseManager                              
Code.exe                      9368 N/A                                         
Code.exe                      3112 N/A                                         
conhost.exe                   7508 N/A                                         
powershell.exe                8688 N/A                                         
RuntimeBroker.exe             1160 N/A                                         
chrome.exe                    2420 N/A                                         
UserOOBEBroker.exe            5492 N/A                                         
chrome.exe                    9516 N/A                                         
rundll32.exe                  3404 N/A                                         
Telegram.exe                  3376 N/A                                         
ApplicationFrameHost.exe      6752 N/A                                         
Video.UI.exe                  5716 N/A                                         
RuntimeBroker.exe             4104 N/A                                         
SystemSettings.exe            9728 N/A                                         
WinStore.App.exe             10384 N/A                                         
RuntimeBroker.exe             6532 N/A                                         
chrome.exe                    9600 N/A                                         
chrome.exe                   10588 N/A                                         
XD.exe                        9348 N/A                                         
cmd.exe                       5704 N/A                                         
node.exe                      3796 N/A                                         
cmd.exe                       6960 N/A                                         
node.exe                     11048 N/A                                         
chrome.exe                    1688 N/A                                         
chrome.exe                    9788 N/A                                         
chrome.exe                    5440 N/A                                         
svchost.exe                   9272 lfsvc                                       
chrome.exe                   10640 N/A                                         
Code.exe                      3288 N/A                                         
conhost.exe                    648 N/A                                         
powershell.exe                9704 N/A                                         
audiodg.exe                   5696 N/A                                         
wscript.exe                   8480 N/A                                         
WmiPrvSE.exe                  4936 N/A                                         
svchost.exe                   1136 gpsvc                                       
WmiPrvSE.exe                  1248 N/A                                         
TrustedInstaller.exe          3996 TrustedInstaller                            
TiWorker.exe                  3168 N/A                                         
cmd.exe                      10332 N/A                                         
conhost.exe                   1992 N/A                                         
tasklist.exe                  7532 N/A                                         
git.exe                      10392 N/A                                         
conhost.exe                   4568 N/A                                         
